,Amateur Team,GP,Name,Overall Pick,Year
64,Laval (QMJHL),185,Jari Gronstrand,65,1986
65,Sodertalje (Sweden-2),56,Lonnie Loach,66,1986
66,Kamloops (WHL),7,John Purves,67,1986
67,Yale (ECAC),5,Todd McLellan,68,1986
68,Windsor (OHL),7,David Haas,69,1986
69,Longueuil (QMJHL),62,Robb Stauber,70,1986
70,Karpat Oulu (Finland),150,Troy Crowder,71,1986
71,Regina (WHL),425,Jeff Daniels,72,1986
72,Windsor (OHL),635,Darren Turcotte,73,1986
73,Belleville (OHL),28,Mario Doyon,74,1986
74,Hamilton (OHL),5,Jim Ennis,75,1986
75,St. James (MJHL),82,Per Djoos,76,1986
76,Sparta Praha (Czech),383,Kevin Todd,77,1986
77,Notre Dame,397,Mike Hartman,78,1986
78,Hill Murray (High-MN),67,Mark Vermette,79,1986
79,Regina (WHL),10,Paul Beraldo,80,1986
80,Peterborough (OHL),416,Mike Hudson,81,1986
81,Calgary (WHL),1056,Lyle Odelein,82,1986
82,Peterborough (OHL),15,Rick Lessard,83,1986
83,Sault Ste. Marie (OHL),631,Rich Pilon,84,1986
84,Nacka (Sweden),1,Dean Morton,85,1986
85,Roxbury Latin (High-MA),32,Rene Chapdelaine,86,1986
86,Kitchener (OHL),1,Francois Guay,87,1986
87,Brainerd (High-MN),26,Randy Skarda,88,1986
88,Thayer Academy (High-MA),18,Ron Hoover,89,1986
89,Kitchener (OHL),4,Rick Hayward,90,1986
90,Calgary (AJHL),988,Murray Baron,91,1986
91,Seattle (WHL),121,Marc Potvin,92,1986
92,North Bay (OHL),501,Dave McLlwain,93,1986
93,Granby (QMJHL),393,Lance Pitlick,94,1986
94,Western Michigan (CCHA),1,Scott Sharples,95,1986
95,Tappara Tampere (Finland),2,Mike Greenlay,96,1986
96,St. Albert (AJHL),2,Scott King,97,1986
